,,,,
,Ngày,Mã Cửa Hàng,Doanh Thu,Chi Phí
,5-Jan,CH 0947,19780,16991
,5-Jan,CH 0948,39640,36156
,5-Jan,CH 0949,18922,15523
,5-Jan,CH 0950,20504,16923
,5-Jan,CH 0951,45989,36928
,5-Jan,CH 0952,17812,15383
,5-Jan,CH 0953,24743,21006
,5-Jan,CH 0954,46564,39504
,5-Jan,CH 0955,42641,38789
,5-Jan,CH 0956,15241,12429
,5-Jan,CH 0957,27667,25329
,5-Jan,CH 0958,34003,30032
,5-Jan,CH 0959,16528,13887
,5-Jan,CH 0960,16561,15348
,5-Jan,CH 0961,14582,12799
,5-Jan,CH 0962,51655,44159
,5-Jan,CH 0963,27999,25765
,5-Jan,CH 0964,12161,11198
,5-Jan,CH 0965,35777,31408
,5-Jan,CH 0966,20630,17576
,5-Jan,CH 0967,11497,9248
,5-Jan,CH 0968,41812,34240
,5-Jan,CH 0969,34510,29698
,5-Jan,CH 0970,30675,25707
,5-Jan,CH 0971,27865,25474
,5-Jan,CH 0972,12346,10411
,5-Jan,CH 0973,13109,10970
,5-Jan,CH 0974,27659,26202
,5-Jan,CH 0975,12523,11442
,5-Jan,CH 0976,41018,37233
,5-Jan,CH 0977,44692,37381
,5-Jan,CH 0978,21896,20180
,5-Jan,CH 0979,30956,29001
,5-Jan,CH 0980,51364,41897
,5-Jan,CH 0981,20254,16506
,5-Jan,CH 0982,9836,7921
,5-Jan,CH 0983,19056,16390
,5-Jan,CH 0984,15929,14193
,5-Jan,CH 0985,8478,7566
,5-Jan,CH 0986,43155,37473
,5-Jan,CH 0987,23123,20284
,5-Jan,CH 0988,51227,41417
,5-Jan,CH 0989,37251,32580
,5-Jan,CH 0990,21262,17025
,5-Jan,CH 0991,32277,27109
,5-Jan,CH 0992,48382,42203
,5-Jan,CH 0993,6704,5861
,5-Jan,CH 0994,15903,14856
,5-Jan,CH 0995,21556,17842
,5-Jan,CH 0996,26227,22238
,5-Jan,CH 0997,8257,6717
,5-Jan,CH 0998,15785,13122
,5-Jan,CH 0999,20819,17598
,5-Jan,CH 1000,28829,23360
,5-Jan,CH 1001,31433,29102
,5-Jan,CH 1002,16376,14736
,5-Jan,CH 1003,18443,16964
,5-Jan,CH 1004,12598,11085
,5-Jan,CH 1005,46864,42050
,5-Jan,CH 1006,27704,26253
,5-Jan,CH 1007,4663,4123
,5-Jan,CH 1008,21686,18871
,5-Jan,CH 1009,32098,29420
,5-Jan,CH 1010,27446,25361
,5-Jan,CH 1011,37083,34219
,5-Jan,CH 1012,36922,34518
,5-Jan,CH 1013,6787,6282
,5-Jan,CH 1014,25420,24053
,5-Jan,CH 1015,52369,49671
,5-Jan,CH 1016,21689,19256
,5-Jan,CH 1017,19782,17931
,5-Jan,CH 1018,33981,31294
,5-Jan,CH 1019,40757,36338
,5-Jan,CH 1020,31687,27296
,5-Jan,CH 1021,29209,26451
,5-Jan,CH 1022,8935,7711
,5-Jan,CH 1023,10952,9046
,5-Jan,CH 1024,16488,14174
,5-Jan,CH 1025,7296,5841
,5-Jan,CH 1026,26009,20962
,5-Jan,CH 1027,21124,19440
,5-Jan,CH 1028,37113,30706
,5-Jan,CH 1029,12387,11162
,5-Jan,CH 1030,17555,15944
,5-Jan,CH 1031,48302,40946
,5-Jan,CH 1032,18163,14945
,5-Jan,CH 1033,10442,8920
,5-Jan,CH 1034,54235,51164
,5-Jan,CH 1035,305,275
,5-Jan,CH 1036,32511,27271
,5-Jan,CH 1037,16420,14765
,5-Jan,CH 1038,11087,9838
,5-Jan,CH 1039,13917,12686
,5-Jan,CH 1040,30405,24711
,5-Jan,CH 1041,19766,16783
,5-Jan,CH 1042,7764,7332
,5-Jan,CH 1043,19525,16839
,5-Jan,CH 1044,39064,34662
,5-Jan,CH 1045,15595,12991
,5-Jan,CH 1046,7190,6787
,5-Jan,CH 1047,16081,14250
,5-Jan,CH 1048,18331,15760
,5-Jan,CH 1049,21057,19893
,5-Jan,CH 1050,27414,22410
,5-Jan,CH 1051,18613,17091
,5-Jan,CH 1052,15300,13456
,5-Jan,CH 1053,8066,7116
,5-Jan,CH 1054,7853,6821
,5-Jan,CH 1055,11489,10458
,5-Jan,CH 1056,24728,20352
,5-Jan,CH 1057,34665,29690
,5-Jan,CH 1058,32535,29779
,5-Jan,CH 1059,17768,15174
,5-Jan,CH 1060,24763,22004
,5-Jan,CH 1061,51474,45806
,5-Jan,CH 1062,5095,4395
,5-Jan,CH 1063,27932,22688
,5-Jan,CH 1064,20396,16800
,5-Jan,CH 1065,14784,13768
,5-Jan,CH 1066,2148,1958
,5-Jan,CH 1067,34004,30011
,5-Jan,CH 1068,13366,12324
,5-Jan,CH 1069,22215,20901
,5-Jan,CH 1070,17212,15831
,5-Jan,CH 1071,38177,30546
,5-Jan,CH 1072,26234,24866
,5-Jan,CH 1073,20483,16648
,5-Jan,CH 1074,16575,15239
,5-Jan,CH 1075,4293,3799
,5-Jan,CH 1076,11274,9770
,5-Jan,CH 1077,41499,33961
,5-Jan,CH 1078,23394,22088
,5-Jan,CH 1079,19645,18166
,5-Jan,CH 1080,6393,5490
,5-Jan,CH 1081,7089,6071
,5-Jan,CH 1082,21710,18402
,5-Jan,CH 1083,21981,20572
,5-Jan,CH 1084,17363,15084
,5-Jan,CH 1085,31425,28237
,5-Jan,CH 1086,8701,8124
,5-Jan,CH 1087,1181,996
,5-Jan,CH 1088,38394,34078
,5-Jan,CH 1089,19345,17424
,5-Jan,CH 1090,29624,27056
,5-Jan,CH 1091,13736,12759
,5-Jan,CH 1092,9277,7751
,5-Jan,CH 1093,15212,13993
,5-Jan,CH 1094,22061,20662
,5-Jan,CH 1095,42839,38265
,5-Jan,CH 1096,33851,27432
,5-Jan,CH 1097,28302,23254
,5-Jan,CH 1098,45402,40140
,5-Jan,CH 1099,22867,19194
,5-Jan,CH 1100,20669,17801
,5-Jan,CH 1101,42265,38254
,5-Jan,CH 1102,20383,18845
,5-Jan,CH 1103,32686,26412
,5-Jan,CH 1104,12980,12169
,5-Jan,CH 1105,25168,20920
,5-Jan,CH 1106,18205,14693
,5-Jan,CH 1107,18718,15127
,5-Jan,CH 1108,27132,25219
,5-Jan,CH 1109,25346,22023
,5-Jan,CH 1110,32290,26297
,5-Jan,CH 1111,45714,39167
,5-Jan,CH 1112,30810,28514
,5-Jan,CH 1113,22927,20694
,5-Jan,CH 1114,21574,18637
,5-Jan,CH 1115,18920,16515
,5-Jan,CH 1116,32969,28199
,5-Jan,CH 1117,27630,24486
,5-Jan,CH 1118,16852,15346
,5-Jan,CH 1119,25256,23778
,5-Jan,CH 1120,4865,4027
,5-Jan,CH 1121,38373,36140
,5-Jan,CH 1122,33202,31525
,5-Jan,CH 1123,19919,17560
,5-Jan,CH 1124,19195,15796
,5-Jan,CH 1125,18628,16471
,5-Jan,CH 1126,26816,23937
,5-Jan,CH 1127,27107,25328
,5-Jan,CH 1128,5229,4200
,5-Jan,CH 1129,1268,1051
,5-Jan,CH 1130,31560,25985
,5-Jan,CH 1131,35882,29538
,5-Jan,CH 1132,27552,25202
,5-Jan,CH 1133,35362,30002
,5-Jan,CH 1134,9486,8559
,5-Jan,CH 1135,11154,9506
,5-Jan,CH 1136,21975,17622
,5-Jan,CH 1137,18046,15059
,5-Jan,CH 1138,40275,37751
,5-Jan,CH 1139,13611,11626
,5-Jan,CH 1140,35856,31403
,5-Jan,CH 1141,17198,16041
,5-Jan,CH 1142,26110,22752
,5-Jan,CH 1143,16839,13479
,5-Jan,CH 1144,14041,11770
,5-Jan,CH 1145,21657,19081
,5-Jan,CH 1146,17512,16253
,5-Jan,CH 1147,15615,14779
,5-Jan,CH 1148,15562,14114
,5-Jan,CH 1149,12893,10815
,5-Jan,CH 1150,4780,3927
,5-Jan,CH 1151,9085,7654
,5-Jan,CH 1152,44374,38459
,5-Jan,CH 1153,30901,26198
,5-Jan,CH 1154,40460,32594
,5-Jan,CH 1155,44747,38642
,5-Jan,CH 1156,45059,36159
,5-Jan,CH 1157,24893,23523
,5-Jan,CH 1158,20812,18946
,5-Jan,CH 1159,48823,40550
,5-Jan,CH 1160,42104,37911
,5-Jan,CH 1161,48000,39973
,5-Jan,CH 1162,18417,17119
,5-Jan,CH 1163,37396,30135
,5-Jan,CH 1164,11811,9883
,5-Jan,CH 1165,45137,39345
,5-Jan,CH 1166,37418,34213
,5-Jan,CH 1167,37553,31898
,5-Jan,CH 1168,17440,15119
,5-Jan,CH 1169,16236,13618
,5-Jan,CH 1170,44192,41344
,5-Jan,CH 1171,29658,25611
,5-Jan,CH 1172,24867,21248
,5-Jan,CH 1173,29203,25901
,5-Jan,CH 1174,21629,18890
,5-Jan,CH 1175,22838,19853
,5-Jan,CH 1176,2901,2543
,5-Jan,CH 1177,29433,26234
,5-Jan,CH 1178,17267,15121
,5-Jan,CH 1179,11067,9094
,5-Jan,CH 1180,16980,14182
,5-Jan,CH 1181,31533,27703
,5-Jan,CH 1182,29196,25209
,5-Jan,CH 1183,28763,23661
,5-Jan,CH 1184,34877,31482
,5-Jan,CH 1185,18821,16399
,5-Jan,CH 1186,30293,25139
,5-Jan,CH 1187,38847,36019
,5-Jan,CH 1188,26207,23956
,5-Jan,CH 1189,14048,12905
,5-Jan,CH 1190,9564,7776
,5-Jan,CH 1191,44641,38692
,5-Jan,CH 1192,19781,17312
,5-Jan,CH 1193,13959,11502
,5-Jan,CH 1194,40374,32650
,5-Jan,CH 1195,42418,39292
,5-Jan,CH 1196,32698,27689
,5-Jan,CH 1197,16818,15068
,5-Jan,CH 1198,30389,28407
,5-Jan,CH 1199,27318,25853
,5-Jan,CH 1200,33672,30695
,5-Jan,CH 1201,21126,19297
,5-Jan,CH 1202,21427,20202
,5-Jan,CH 1203,34730,28687
,5-Jan,CH 1204,29776,25169
,5-Jan,CH 1205,37009,31636
,5-Jan,CH 1206,30535,28239
,5-Jan,CH 1207,19729,18189
,5-Jan,CH 1208,12875,11351
,5-Jan,CH 1209,6447,5443
,5-Jan,CH 1210,35857,29452
,5-Jan,CH 1211,36467,29889
,5-Jan,CH 1212,34596,31482
,5-Jan,CH 1213,25689,22316
,5-Jan,CH 1214,18628,16481
,5-Jan,CH 1215,38935,36743
,5-Jan,CH 1216,24120,22735
,5-Jan,CH 1217,18771,17394
,5-Jan,CH 1218,41482,35307
,5-Jan,CH 1219,9915,9417
,5-Jan,CH 1220,17370,14133
,5-Jan,CH 1221,38161,32416
,5-Jan,CH 1222,22696,20411
,5-Jan,CH 1223,11860,10772
,5-Jan,CH 1224,6273,5407
,5-Jan,CH 1225,33417,30378
,5-Jan,CH 1226,10857,9077
,5-Jan,CH 1227,29730,24040
,5-Jan,CH 1228,36416,29245
,5-Jan,CH 1229,26563,22441
,5-Jan,CH 1230,23058,21419
,5-Jan,CH 1231,17897,14532
,5-Jan,CH 1232,18482,16051
,5-Jan,CH 1233,22221,20512
,5-Jan,CH 1234,47814,44300
,5-Jan,CH 1235,13695,12743
,5-Jan,CH 1236,17886,16168
,5-Jan,CH 1237,12357,10958
,5-Jan,CH 1238,46539,41889
,5-Jan,CH 1239,27848,23451
,5-Jan,CH 1240,10528,8422
,5-Jan,CH 1241,23046,20023
,5-Jan,CH 1242,17390,16371
,5-Jan,CH 1243,8787,7525
,5-Jan,CH 1244,21492,20057
,5-Jan,CH 1245,33641,28587
,5-Jan,CH 1246,20255,17721
,5-Jan,CH 1247,22545,19423
,5-Jan,CH 5888,6495,6030
,5-Jan,CH 1248,15708,13946
,5-Jan,CH 1249,3646,3232
,5-Jan,CH 1250,30494,27485
,5-Jan,CH 1251,27802,23314
,5-Jan,CH 1252,20431,18015
,5-Jan,CH 1253,29435,27705
,5-Jan,CH 1254,12747,11996
,5-Jan,CH 1255,54387,48639
,5-Jan,CH 1256,23980,22458
,5-Jan,CH 1257,50087,46302
,5-Jan,CH 1258,33006,29222
,5-Jan,CH 1259,24315,21177
,5-Jan,CH 1260,11322,10481
,5-Jan,CH 1261,16227,13408
,5-Jan,CH 1262,17637,14605
,5-Jan,CH 1263,27010,24674
,5-Jan,CH 1264,25943,20908
,5-Jan,CH 1265,19437,15728
,5-Jan,CH 1266,27638,24264
,5-Jan,CH 1267,49029,44759
,5-Jan,CH 1268,17628,14699
,5-Jan,CH 1269,36807,29647
,5-Jan,CH 1270,43873,39944
,5-Jan,CH 1271,20407,19148
,5-Jan,CH 1272,17248,15560
,5-Jan,CH 1273,32151,26500
,5-Jan,CH 1274,20177,19103
,5-Jan,CH 1275,23761,20395
,5-Jan,CH 1276,14410,12976
,5-Jan,CH 1277,15818,14381
,5-Jan,CH 1278,40332,38025
,5-Jan,CH 1279,25444,21964
,5-Jan,CH 1280,17763,15688
,5-Jan,CH 1281,16516,15067
,5-Jan,CH 1282,46969,44169
,5-Jan,CH 1283,21689,19606
,5-Jan,CH 1284,54030,47362
,5-Jan,CH 1285,34064,29576
,5-Jan,CH 1286,17978,15195
,5-Jan,CH 1287,10896,8867
,5-Jan,CH 1288,23157,20412
,5-Jan,CH 1289,22678,19742
,5-Jan,CH 1290,30182,27064
,5-Jan,CH 1291,49376,42353
,5-Jan,CH 1292,18774,17784
,5-Jan,CH 1293,66723,60923
,5-Jan,CH 1294,27318,24207
,5-Jan,CH 1295,35750,32858
,5-Jan,CH 1296,27584,25629
,5-Jan,CH 1297,54467,45150
,5-Jan,CH 1298,7172,6766
,5-Jan,CH 1299,11080,9834
,5-Jan,CH 1300,10760,8716
,5-Jan,CH 1301,22593,19532
,5-Jan,CH 1302,34258,28956
,5-Jan,CH 1303,11688,10518
,5-Jan,CH 1304,2648,2428
,5-Jan,CH 1305,19185,16294
,5-Jan,CH 1306,8167,6778
,5-Jan,CH 1307,18835,17681
,5-Jan,CH 1308,24844,20118
,5-Jan,CH 1309,7687,6593
,5-Jan,CH 1310,24431,21658
,5-Jan,CH 1311,16886,14459
,5-Jan,CH 1312,20973,17848
,5-Jan,CH 1313,17403,16526
,5-Jan,CH 1314,25301,23667
,5-Jan,CH 1315,30491,26985
,5-Jan,CH 1316,24297,19725
,5-Jan,CH 1317,19667,17510
,5-Jan,CH 1318,23535,22035
,5-Jan,CH 1319,14014,13292
,5-Jan,CH 1320,34635,29641
,5-Jan,CH 1321,23465,21829
,5-Jan,CH 1322,14,11
,5-Jan,CH 1323,42543,37844
,5-Jan,CH 1324,48743,42861
,5-Jan,CH 1325,32055,27831
,5-Jan,CH 1326,23878,19514
,5-Jan,CH 1327,21563,19651
,5-Jan,CH 1328,43187,35530
,5-Jan,CH 1329,30086,28211
,5-Jan,CH 1330,26271,24373
,5-Jan,CH 1331,13773,12948
,5-Jan,CH 1332,4376,3596
,5-Jan,CH 1333,18764,17732
,5-Jan,CH 1334,44468,41205
,5-Jan,CH 1335,10852,9584
,5-Jan,CH 1336,23988,19338
,5-Jan,CH 1337,8131,7229
,5-Jan,CH 1338,11293,9937
,5-Jan,CH 1339,12508,11503
,5-Jan,CH 1340,29084,25803
,5-Jan,CH 1341,32947,27033
,5-Jan,CH 1342,12069,9668
,5-Jan,CH 1343,10842,9685
,5-Jan,CH 1344,28608,25873
,5-Jan,CH 1345,11322,10567
,5-Jan,CH 1346,10334,8955
,5-Jan,CH 1347,26622,22687
,5-Jan,CH 1348,7692,7185
,5-Jan,CH 1349,1364,1177
,5-Jan,CH 1350,13101,10776
,5-Jan,CH 1351,35942,32378
,5-Jan,CH 1352,42398,38065
,5-Jan,CH 1353,17818,14988
,5-Jan,CH 1354,10958,9226
,5-Jan,CH 1355,10106,9288
,5-Jan,CH 1356,44218,39667
,5-Jan,CH 1357,32251,27817
,5-Jan,CH 1358,39555,37452
,5-Jan,CH 1359,25088,22356
,5-Jan,CH 1360,42734,35623
,5-Jan,CH 1361,25506,22250
,5-Jan,CH 1362,15047,12754
,5-Jan,CH 1363,14656,11906
,5-Jan,CH 1364,12226,11429
,5-Jan,CH 1365,6343,5771
,5-Jan,CH 1366,16039,13778
,5-Jan,CH 1367,25045,23267
,5-Jan,CH 1368,30600,28595
,5-Jan,CH 1369,29728,24713
,5-Jan,CH 1370,22358,18248
,5-Jan,CH 1371,23394,19125
,5-Jan,CH 1372,21281,19935
,5-Jan,CH 1373,26002,21459
,5-Jan,CH 1374,27651,24941
,5-Jan,CH 1375,17133,15693
,5-Jan,CH 1376,33617,30921
,5-Jan,CH 1377,29152,25584
,5-Jan,CH 1378,31677,29091
,5-Jan,CH 1379,27996,24429
,5-Jan,CH 1380,46960,44227
,5-Jan,CH 1381,17688,14154
,5-Jan,CH 1382,5020,4071
,5-Jan,CH 1383,24286,19760
,5-Jan,CH 1384,9305,7570
,5-Jan,CH 1385,29872,28145
,5-Jan,CH 1386,17069,15511
,5-Jan,CH 1387,29997,25573
,5-Jan,CH 1388,13208,12345
,5-Jan,CH 1389,37268,29860
,5-Jan,CH 1390,15062,12715
,5-Jan,CH 1391,24231,20741
,5-Jan,CH 1392,26442,24022
,5-Jan,CH 1393,13462,11987
,5-Jan,CH 1394,15598,13174
,5-Jan,CH 1395,23997,19336
,5-Jan,CH 1396,18422,16355
,5-Jan,CH 1397,29414,25764
,5-Jan,CH 1398,36783,33507
,5-Jan,CH 1399,50474,47924
,5-Jan,CH 1400,47528,40484
,5-Jan,CH 1401,32741,30161
,5-Jan,CH 1402,51651,46111
,5-Jan,CH 1403,54313,44894
,5-Jan,CH 1404,46621,37379
,5-Jan,CH 1405,43168,37040
,5-Jan,CH 1406,19389,16402
,5-Jan,CH 1407,14839,13015
,5-Jan,CH 1408,30759,26678
,5-Jan,CH 1409,33558,27242
,5-Jan,CH 1410,22700,20171
,5-Jan,CH 1411,26972,24497
,5-Jan,CH 1412,25884,21123
,5-Jan,CH 1413,4267,3679
,5-Jan,CH 1414,43073,34906
,5-Jan,CH 1415,8218,6820
,5-Jan,CH 1416,45038,42259
,5-Jan,CH 1417,2191,1798
,5-Jan,CH 1418,22568,19634
,5-Jan,CH 1419,37607,33217
,5-Jan,CH 1420,25890,24189
,5-Jan,CH 1421,9841,8593
,5-Jan,CH 1422,29022,25715
,5-Jan,CH 1423,18460,15324
,5-Jan,CH 1424,45794,41532
,5-Jan,CH 1425,50244,40963
,5-Jan,CH 1426,37366,30369
,5-Jan,CH 1427,52763,45367
,5-Jan,CH 1428,42816,34960
,5-Jan,CH 1429,25107,21059
,5-Jan,CH 1430,42459,36679
,5-Jan,CH 1431,41429,37448
,5-Jan,CH 1432,20041,18265
,5-Jan,CH 1433,32748,27659
,5-Jan,CH 1434,26560,23745
,5-Jan,CH 1435,12081,10164
,5-Jan,CH 1436,42385,36862
,5-Jan,CH 1437,48939,39201
,5-Jan,CH 1438,29882,25140
,5-Jan,CH 1439,25177,22623
,5-Jan,CH 1440,20610,17590
,5-Jan,CH 1441,59570,53177
,5-Jan,CH 1442,44721,38045
,5-Jan,CH 1443,47155,40499
,5-Jan,CH 1444,31834,29894
,5-Jan,CH 1445,52749,45443
,5-Jan,CH 1446,49785,40490
,5-Jan,CH 1447,49779,41162
,5-Jan,CH 1448,30573,28625
,5-Jan,CH 1449,26438,25059
,5-Jan,CH 1450,47501,41570
,5-Jan,CH 1451,13303,12013
,5-Jan,CH 1452,22414,19348
,5-Jan,CH 1453,20789,19515
,5-Jan,CH 1454,36719,33259
,5-Jan,CH 1455,30658,26870
,5-Jan,CH 1456,41182,38572
,5-Jan,CH 1457,51618,48113
,5-Jan,CH 1458,43007,36145
,5-Jan,CH 1459,16698,14034
,5-Jan,CH 1460,28145,23136
,5-Jan,CH 1461,40892,37234
,5-Jan,CH 1462,42224,36331
,5-Jan,CH 1463,40206,33955
,5-Jan,CH 1464,4136,3766
,5-Jan,CH 1465,35807,32500
,5-Jan,CH 1466,30216,26738
,5-Jan,CH 1467,26828,22712
,5-Jan,CH 1468,45208,40282
,5-Jan,CH 1469,51455,42862
,5-Jan,CH 1470,17584,16011
,5-Jan,CH 1471,20355,17955
,5-Jan,CH 1472,36043,29345
,5-Jan,CH 1473,48168,45674
,5-Jan,CH 1474,25306,23449
,5-Jan,CH 1475,20348,16345
,5-Jan,CH 1476,26507,24874
,5-Jan,CH 1477,25215,22493
,5-Jan,CH 1478,36890,33951
,5-Jan,CH 1479,35536,30293
,5-Jan,CH 1480,32219,30041
,5-Jan,CH 1481,23287,19718
,5-Jan,CH 1482,12701,11628
,5-Jan,CH 1483,20854,18505
,5-Jan,CH 1484,18059,14703
,5-Jan,CH 1485,6433,5406
,5-Jan,CH 1486,40423,37427
,5-Jan,CH 1487,4475,4140
,5-Jan,CH 1488,26036,22748
,5-Jan,CH 1489,21505,18184
,5-Jan,CH 1490,18118,16958
,5-Jan,CH 1491,28853,23354
,5-Jan,CH 1492,30037,26052
,5-Jan,CH 1493,16478,14239
,5-Jan,CH 1494,46341,40787
,5-Jan,CH 1495,23369,20160
,5-Jan,CH 1496,42061,38066
,5-Jan,CH 1497,31420,26741
,5-Jan,CH 1498,15241,12584
,5-Jan,CH 1499,19537,18226
,5-Jan,CH 1500,13810,13066
,5-Jan,CH 1501,33070,30079
,5-Jan,CH 1502,22164,20497
,5-Jan,CH 1503,37271,34363
,5-Jan,CH 1504,17036,14118
,5-Jan,CH 1505,41956,38280
,5-Jan,CH 1506,36228,33434
,5-Jan,CH 1507,33403,28327
,5-Jan,CH 1508,20156,16884
,5-Jan,CH 1509,27310,21937
,5-Jan,CH 1510,30779,27247
,5-Jan,CH 1511,26754,22044
,5-Jan,CH 1512,47741,39232
,5-Jan,CH 1513,13468,12667
,5-Jan,CH 1514,32264,30499
,5-Jan,CH 1515,23495,19763
,5-Jan,CH 1516,40464,36696
,5-Jan,CH 1517,32197,27819
,5-Jan,CH 1518,41915,34086
,5-Jan,CH 1519,27855,24504
,5-Jan,CH 1520,41052,34507
,5-Jan,CH 1521,24317,23003
,5-Jan,CH 1522,23338,20331
,5-Jan,CH 1523,38342,33208
,5-Jan,CH 1524,21364,19570
,5-Jan,CH 1525,31644,28659
,5-Jan,CH 1526,24848,21001
,5-Jan,CH 1527,38862,31346
,5-Jan,CH 1528,26481,24195
,5-Jan,CH 1529,32206,26805
,5-Jan,CH 1530,9438,7560
,5-Jan,CH 1531,28802,25741
,5-Jan,CH 1532,37200,29972
,5-Jan,CH 1533,34668,31785
,5-Jan,CH 1534,12550,10397
,5-Jan,CH 1535,24585,22239
,5-Jan,CH 1536,32727,30884
,5-Jan,CH 1537,24533,20426
,5-Jan,CH 1538,23285,21337
,5-Jan,CH 1539,11520,10356
,5-Jan,CH 1540,51910,46739
,5-Jan,CH 1541,30655,27988
,5-Jan,CH 1542,37655,30461
,5-Jan,CH 1543,12388,10404
,5-Jan,CH 1544,30598,27598
,5-Jan,CH 1545,26254,24858
,5-Jan,CH 1546,30644,26114
,5-Jan,CH 1547,44123,35906
,5-Jan,CH 1548,35442,28613
,5-Jan,CH 1549,29340,27645
,5-Jan,CH 1550,25645,24105
,5-Jan,CH 1551,33005,29573
,5-Jan,CH 1552,36316,30265
,5-Jan,CH 1553,21707,18466
,5-Jan,CH 1554,34820,31448
,5-Jan,CH 1555,20688,17966
,5-Jan,CH 1556,52134,43345
,5-Jan,CH 1557,12544,11580
,5-Jan,CH 1558,36717,33062
,5-Jan,CH 1559,28605,25691
,5-Jan,CH 1560,43192,38991
,5-Jan,CH 1561,20188,16673
,5-Jan,CH 1562,27305,24071
,5-Jan,CH 1563,46450,42395
,5-Jan,CH 1564,30298,28502
,5-Jan,CH 1565,26727,22791
,5-Jan,CH 1566,37603,31158
,5-Jan,CH 1567,39456,35635
,5-Jan,CH 1568,29351,24809
,5-Jan,CH 1569,20471,18011
,5-Jan,CH 1570,28563,23857
,5-Jan,CH 1571,34492,29104
,5-Jan,CH 1572,28530,25190
,5-Jan,CH 1573,31705,25854
,5-Jan,CH 1574,30482,24834
,5-Jan,CH 1575,30369,27096
,5-Jan,CH 1576,32356,29418
,5-Jan,CH 1577,43223,37433
,5-Jan,CH 1578,16950,14105
,5-Jan,CH 1579,32325,29115
,5-Jan,CH 1580,29980,25269
,5-Jan,CH 1581,19742,18716
,5-Jan,CH 1582,28608,24021
,5-Jan,CH 1583,16704,15722
,5-Jan,CH 1584,21546,18730
,5-Jan,CH 1585,33548,27587
,5-Jan,CH 1586,38025,34436
,5-Jan,CH 1587,31851,28131
,5-Jan,CH 1588,28076,23313
,5-Jan,CH 1589,28267,23053
,5-Jan,CH 1590,31783,27337
,5-Jan,CH 1591,33402,28275
,5-Jan,CH 1592,21039,17988
,5-Jan,CH 1593,26868,24955
,5-Jan,CH 1594,40238,36075
,5-Jan,CH 1595,31237,27869
,5-Jan,CH 1596,15688,13547
,5-Jan,CH 1597,5172,4872
,5-Jan,CH 1598,22384,19482
,5-Jan,CH 1599,33891,30526
,5-Jan,CH 1600,29331,27403
,5-Jan,CH 1601,25129,22966
,5-Jan,CH 1602,30084,24202
,5-Jan,CH 1603,30672,27354
,5-Jan,CH 1604,26702,21445
,5-Jan,CH 1605,37043,33338
,5-Jan,CH 1606,26545,21863
,5-Jan,CH 1607,23961,21735
,5-Jan,CH 1608,28319,25348
,5-Jan,CH 1609,9576,8955
,5-Jan,CH 1610,33787,27030
,5-Jan,CH 1611,16728,13457
,5-Jan,CH 1612,41334,37535
,5-Jan,CH 1613,3285,2631
,5-Jan,CH 1614,14554,12435
,5-Jan,CH 1615,40,37
,5-Jan,CH 1616,42989,34889
,5-Jan,CH 1617,21878,18678
,5-Jan,CH 1618,26087,21915
,5-Jan,CH 1619,10111,8657
,5-Jan,CH 1620,15006,13594
,5-Jan,CH 1621,40418,37860
,5-Jan,CH 1622,29536,24205
,5-Jan,CH 1623,28798,23555
,5-Jan,CH 1624,19429,17750
,5-Jan,CH 1625,21311,19049
,5-Jan,CH 1626,23944,22029
,5-Jan,CH 1627,32650,26809
,5-Jan,CH 1628,18816,16632
,5-Jan,CH 1629,18855,16459
,5-Jan,CH 1630,8475,7158
,5-Jan,CH 1631,35057,30720
,5-Jan,CH 1632,34818,30115
,5-Jan,CH 1633,42292,34795
,5-Jan,CH 1634,23937,20403
,5-Jan,CH 1635,42120,34736
,5-Jan,CH 1636,27273,24909
,5-Jan,CH 1637,20942,17932
,5-Jan,CH 1638,22543,18103
,5-Jan,CH 1639,34825,30960
,5-Jan,CH 1640,27454,24074
,5-Jan,CH 1641,22172,18451
,5-Jan,CH 1642,18769,15671
,5-Jan,CH 1643,8831,7836
,5-Jan,CH 1644,32759,28517
,5-Jan,CH 1645,19688,18399
,5-Jan,CH 1646,44341,39419
,5-Jan,CH 1647,26637,22578
,5-Jan,CH 1648,2557,2317
,5-Jan,CH 1649,46973,38297
,5-Jan,CH 1650,22995,19181
,5-Jan,CH 1651,12249,10268
,5-Jan,CH 1652,18773,15050
,5-Jan,CH 1653,46444,40148
,5-Jan,CH 1654,33871,30023
,5-Jan,CH 1655,22563,20401
,5-Jan,CH 1656,25585,23035
,5-Jan,CH 1657,32763,26781
,5-Jan,CH 1658,12820,10383
,5-Jan,CH 1659,29139,24641
,5-Jan,CH 1660,29486,26903
,5-Jan,CH 1661,22430,19747
,5-Jan,CH 1662,37562,31934
,5-Jan,CH 1663,29264,24171
,5-Jan,CH 1664,11441,10742
,5-Jan,CH 1665,9375,8217
,5-Jan,CH 1666,39803,36838
,5-Jan,CH 1667,12479,10736
,5-Jan,CH 1668,29050,23304
,5-Jan,CH 1669,40467,34323
,5-Jan,CH 1670,48605,43883
,5-Jan,CH 1671,54476,46602
,5-Jan,CH 1672,19747,17587
,5-Jan,CH 1673,18796,16113
,5-Jan,CH 1674,25830,21196
,5-Jan,CH 1675,36847,33944
,5-Jan,CH 1676,27655,24974
,5-Jan,CH 1677,22814,19802
,5-Jan,CH 1678,14446,13446
,5-Jan,CH 1679,24912,21687
,5-Jan,CH 1680,41270,34898
